Illinois|Saline|M|29.8|38.1
Illinois|Sangamon|M|26.0|34.2
Illinois|Schuyler|M|28.8|36.1
Illinois|Scott|M|27.7|36.0
Illinois|Shelby|M|26.8|35.8
Illinois|St. Clair|M|31.1|37.6
Illinois|Stark|M|27.5|36.8
Illinois|Stephenson|M|28.5|35.6
Illinois|Tazewell|M|26.5|34.8
Illinois|Union|M|28.7|37.0
Illinois|Vermilion|M|31.5|36.1
Illinois|Wabash|M|28.1|38.4
Illinois|Warren|M|28.2|36.2
Illinois|Washington|M|28.5|37.4
Illinois|Wayne|M|29.4|38.4
Illinois|White|M|28.6|38.4
Illinois|Whiteside|M|28.7|34.8
Illinois|Will|M|27.6|37.0
Illinois|Williamson|M|27.2|36.8
Illinois|Winnebago|M|28.8|34.5
Illinois|Woodford|M|27.7|34.7
Indiana|Adams|M|29.3|37.4
Indiana|Allen|M|27.7|34.9
Indiana|Bartholomew|M|25.3|34.8
Indiana|Benton|M|28.6|35.1
Indiana|Blackford|M|28.4|39.2
